Symbol,Industry,Sector
BBVA,Banks - Diversified,Financials
INTU,Software - Application,Technology
SNY,Drug Manufacturers - General,Healthcare
UBS,Banks - Diversified,Financials
PH,Specialty Industrial Machinery,Industrials
MDT,Medical Devices,Healthcare
MO,Tobacco,Consumer Staples
DELL,Computer Hardware,Technology
NEM,Gold,Materials
VRTX,Biotechnology,Healthcare
CEG,Utilities - Independent Power Producers,Utilities
COF,Credit Services,Financials
GSK,Drug Manufacturers - General,Healthcare
SO,Utilities - Regulated Electric,Utilities
SOMN,Utilities - Regulated Electric,Utilities
CME,Financial Data & Stock Exchanges,Financials
HCA,Medical Care Facilities,Healthcare
MCK,Medical Distribution,Healthcare
CNQ,Oil & Gas Exploration & Production,Energy
NOW,Software - Application,Technology
BSX,Medical Devices,Healthcare
EQNR,Oil & Gas Integrated,Energy
CMCSA,Telecom Services,Communication Services
DUK,Utilities - Regulated Electric,Utilities
SBUX,Restaurants,Consumer Discretionary
SPOT,Internet Content & Information,Communication Services
MFG,Banks - Regional,Financials
AEM,Gold,Materials
NOC,Aerospace & Defense,Industrials
VRT,Electrical Equipment & Parts,Industrials
ADBE,Software - Application,Technology
EQIX,REIT - Specialty,Real Estate
CRWD,Software - Infrastructure,Technology
GD,Aerospace & Defense,Industrials
WDC,Computer Hardware,Technology
IBN,Banks - Regional,Financials
BMO,Banks - Diversified,Financials
HWM,Aerospace & Defense,Industrials
SNDK,Computer Hardware,Technology
TT,Building Products & Equipment,Industrials
WM,Waste Management,Industrials
WMB,Oil & Gas Midstream,Energy
CVS,Healthcare Plans,Healthcare
BN,Asset Management,Financials
ICE,Financial Data & Stock Exchanges,Financials
ITUB,Banks - Regional,Financials
CM,Banks - Diversified,Financials
STX,Computer Hardware,Technology
EPD,Oil & Gas Midstream,Energy
MAR,Lodging,Consumer Discretionary
BNS,Banks - Diversified,Financials
MRVL,Semiconductors,Technology
PWR,Engineering & Construction,Industrials
FDX,Integrated Freight & Logistics,Industrials
MRSH,Insurance Brokers,Financials
NGG,Utilities - Regulated Electric,Utilities
PNC,Banks - Regional,Financials
MELI,Internet Retail,Consumer Discretionary
E,Oil & Gas Integrated,Energy
ADP,Software - Application,Technology
FCX,Copper,Materials
UPS,Integrated Freight & Logistics,Industrials
JCI,Building Products & Equipment,Industrials
SLB,Oil & Gas Equipment & Services,Energy
EOG,Oil & Gas Exploration & Production,Energy
SU,Oil & Gas Integrated,Energy
AMT,REIT - Specialty,Real Estate
USB,Banks - Regional,Financials
BK,Banks - Diversified,Financials
KKR,Asset Management,Financials
SHW,Specialty Chemicals,Materials
NKE,Footwear & Accessories,Consumer Discretionary
VLO,Oil & Gas Refining & Marketing,Energy
KMI,Oil & Gas Midstream,Energy
REGN,Biotechnology,Healthcare
MCO,Financial Data & Stock Exchanges,Financials
ORLY,Auto Parts,Consumer Discretionary
PSX,Oil & Gas Refining & Marketing,Energy
CDNS,Software - Application,Technology
AMX,Telecom Services,Communication Services
MMM,Conglomerates,Industrials
MDLZ,Confectioners,Consumer Staples
ITW,Specialty Industrial Machinery,Industrials
MPC,Oil & Gas Refining & Marketing,Energy
ECL,Specialty Chemicals,Materials
CSX,Railroads,Industrials
ABNB,Travel Services,Consumer Discretionary
SNPS,Software - Infrastructure,Technology
MSI,Communication Equipment,Technology
CMI,Specialty Industrial Machinery,Industrials
ING,Banks - Diversified,Financials
NET,Software - Infrastructure,Technology
RCL,Travel Services,Consumer Discretionary
AEP,Utilities - Regulated Electric,Utilities
EMR,Specialty Industrial Machinery,Industrials
LYG,Banks - Regional,Financials
CP,Railroads,Industrials
MNST,Beverages - Non-Alcoholic,Consumer Staples
NTES,Electronic Gaming & Multimedia,Communication Services
BCS,Banks - Diversified,Financials
BAM,Asset Management,Financials
CI,Healthcare Plans,Healthcare
SPG,REIT - Retail,Real Estate
ROST,Apparel Retail,Consumer Discretionary
CRH,Building Materials,Materials
ET,Oil & Gas Midstream,Energy
CL,Household & Personal Products,Consumer Staples
HLT,Lodging,Consumer Discretionary
AON,Insurance Brokers,Financials
WBD,Entertainment,Communication Services
RSG,Waste Management,Industrials
CVNA,Auto & Truck Dealerships,Consumer Discretionary
CTAS,Specialty Business Services,Industrials
TRP,Oil & Gas Midstream,Energy
NU,Banks - Regional,Financials
GM,Auto Manufacturers,Consumer Discretionary
APD,Specialty Chemicals,Materials
OXY,Oil & Gas Exploration & Production,Energy
B,Gold,Materials
TDG,Aerospace & Defense,Industrials
VALE,Other Industrial Metals & Mining,Materials
LHX,Aerospace & Defense,Industrials
DASH,Internet Retail,Consumer Discretionary
NSC,Railroads,Industrials
ELV,Healthcare Plans,Healthcare
IMO,Oil & Gas Integrated,Energy
APO,Asset Management,Financials
SRE,Utilities - Diversified,Utilities
BKR,Oil & Gas Equipment & Services,Energy
LNG,Oil & Gas Midstream,Energy
CNI,Railroads,Industrials
TRV,Insurance - Property & Casualty,Financials
DLR,REIT - Specialty,Real Estate
COR,Medical Distribution,Healthcare
HOOD,Capital Markets,Financials
PCAR,Farm & Heavy Construction Machinery,Industrials
TEL,Electronic Components,Technology
OKE,Oil & Gas Midstream,Energy
MPLX,Oil & Gas Midstream,Energy
FTNT,Software - Infrastructure,Technology
TAK,Drug Manufacturers - Specialty & Generic,Healthcare
NWG,Banks - Regional,Financials
RELX,Specialty Business Services,Industrials
CIEN,Communication Equipment,Technology
FANG,Oil & Gas Exploration & Production,Energy
O,REIT - Retail,Real Estate
RACE,Auto Manufacturers,Consumer Discretionary
WPM,Gold,Materials
MFC,Insurance - Life,Financials
TFC,Banks - Regional,Financials
CTVA,Agricultural Inputs,Materials
AFL,Insurance - Life,Financials
AZO,Auto Parts,Consumer Discretionary
MDLN,Medical Instruments & Supplies,Healthcare
TGT,Discount Stores,Consumer Staples
INFY,Information Technology Services,Technology
DB,Banks - Regional,Financials
TRGP,Oil & Gas Midstream,Energy
D,Utilities - Regulated Electric,Utilities
AJG,Insurance Brokers,Financials
SNOW,Software - Application,Technology
VST,Utilities - Independent Power Producers,Utilities
ALL,Insurance - Property & Casualty,Financials
MPWR,Semiconductors,Technology
FAST,Industrial Distribution,Industrials
EA,Electronic Gaming & Multimedia,Communication Services
CVE,Oil & Gas Integrated,Energy
LITE,Communication Equipment,Technology
GWW,Industrial Distribution,Industrials
ETR,Utilities - Regulated Electric,Utilities
EXC,Utilities - Regulated Electric,Utilities
XEL,Utilities - Regulated Electric,Utilities
CAH,Medical Distribution,Healthcare
ADSK,Software - Application,Technology
NXPI,Semiconductors,Technology
ASX,Semiconductors,Technology
FIX,Engineering & Construction,Industrials
AME,Specialty Industrial Machinery,Industrials
KEYS,Scientific & Technical Instruments,Technology
ZTS,Drug Manufacturers - Specialty & Generic,Healthcare
COHR,Scientific & Technical Instruments,Technology
UI,Communication Equipment,Technology
PSA,REIT - Industrial,Real Estate
NDAQ,Financial Data & Stock Exchanges,Financials
TER,Semiconductor Equipment & Materials,Technology
SE,Internet Retail,Consumer Discretionary
URI,Rental & Leasing Services,Industrials
EW,Medical Devices,Healthcare
FER,Engineering & Construction,Industrials
F,Auto Manufacturers,Consumer Discretionary
CARR,Building Products & Equipment,Industrials
CCJ,Uranium,Energy
WDS,Oil & Gas Exploration & Production,Energy
AU,Gold,Materials
FNV,Gold,Materials
KR,Grocery Stores,Consumer Staples
IDXX,Diagnostics & Research,Healthcare
NOK,Communication Equipment,Technology
GRMN,Scientific & Technical Instruments,Technology
MET,Insurance - Life,Financials
BDX,Medical Instruments & Supplies,Healthcare
ABEV,Beverages - Brewers,Consumer Staples
FERG,Industrial Distribution,Industrials
MSTR,Software - Application,Technology
HLN,Drug Manufacturers - Specialty & Generic,Healthcare
ARGX,Biotechnology,Healthcare
HSY,Confectioners,Consumer Staples
VG,Oil & Gas Midstream,Energy
YUM,Restaurants,Consumer Discretionary
COIN,Financial Data & Stock Exchanges,Financials
EQT,Oil & Gas Exploration & Production,Energy
DAL,Airlines,Industrials
ALNY,Biotechnology,Healthcare
CCEP,Beverages - Non-Alcoholic,Consumer Staples
DEO,Beverages - Wineries & Distilleries,Consumer Staples
WAB,Railroads,Industrials
DDOG,Software - Application,Technology
ED,Utilities - Regulated Electric,Utilities
FITB,Banks - Regional,Financials
PEG,Utilities - Regulated Electric,Utilities
CMG,Restaurants,Consumer Discretionary
PYPL,Credit Services,Financials
ESLT,Aerospace & Defense,Industrials
WCN,Waste Management,Industrials
TRI,Specialty Business Services,Industrials
AMP,Asset Management,Financials
ROK,Specialty Industrial Machinery,Industrials
EBAY,Internet Retail,Consumer Discretionary
JD,Internet Retail,Consumer Discretionary
CRWV,Software - Infrastructure,Technology
ODFL,Trucking,Industrials
VTR,REIT - Healthcare Facilities,Real Estate
SYY,Food Distribution,Consumer Staples
AIG,Insurance - Diversified,Financials
DHI,Residential Construction,Consumer Discretionary
RKT,Mortgage Finance,Financials
CBRE,Real Estate Services,Real Estate
MSCI,Financial Data & Stock Exchanges,Financials
MT,Steel,Materials
HEI,Aerospace & Defense,Industrials
PCG,Utilities - Regulated Electric,Utilities
BE,Electrical Equipment & Parts,Industrials
ERIC,Communication Equipment,Technology
GFI,Gold,Materials
WEC,Utilities - Regulated Electric,Utilities
NUE,Steel,Materials
RBLX,Electronic Gaming & Multimedia,Communication Services
BIDU,Internet Content & Information,Communication Services
TKO,Entertainment,Communication Services
HIG,Insurance - Diversified,Financials
NTR,Agricultural Inputs,Materials
ALC,Medical Instruments & Supplies,Healthcare
KDP,Beverages - Non-Alcoholic,Consumer Staples
ROP,Software - Application,Technology
TPL,Oil & Gas Exploration & Production,Energy
TTWO,Electronic Gaming & Multimedia,Communication Services
BBD,Banks - Regional,Financials
ARES,Asset Management,Financials
RYAAY,Airlines,Industrials
ADM,Farm Products,Consumer Staples
LVS,Resorts & Casinos,Consumer Discretionary
KB,Banks - Regional,Financials
RKLB,Aerospace & Defense,Industrials
PUK,Insurance - Life,Financials
FMX,Beverages - Brewers,Consumer Staples
AXON,Aerospace & Defense,Industrials
MLM,Building Materials,Materials
KGC,Gold,Materials
CCI,REIT - Specialty,Real Estate
STT,Asset Management,Financials
VMC,Building Materials,Materials
SLF,Insurance - Diversified,Financials
LYV,Entertainment,Communication Services
VOD,Telecom Services,Communication Services
HAL,Oil & Gas Equipment & Services,Energy
KVUE,Household & Personal Products,Consumer Staples
MCHP,Semiconductors,Technology
CCL,Travel Services,Consumer Discretionary
TEVA,Drug Manufacturers - Specialty & Generic,Healthcare
XYZ,Software - Infrastructure,Technology
SATS,Telecom Services,Communication Services
ACGL,Insurance - Diversified,Financials
CPNG,Internet Retail,Consumer Discretionary
PAYX,Software - Application,Technology
KMB,Household & Personal Products,Consumer Staples
EME,Engineering & Construction,Industrials
HEI.A,Aerospace & Defense,Industrials
HMC,Auto Manufacturers,Consumer Discretionary
QSR,Restaurants,Consumer Discretionary
CHT,Telecom Services,Communication Services
PRU,Insurance - Life,Financials
DVN,Oil & Gas Exploration & Production,Energy
CLS,Electronic Components,Technology
RMD,Medical Instruments & Supplies,Healthcare
WDAY,Software - Application,Technology
HPE,Communication Equipment,Technology
TCOM,Travel Services,Consumer Discretionary
NRG,Utilities - Independent Power Producers,Utilities
IX,Financial Conglomerates,Financials
GEHC,Medical Devices,Healthcare
CQP,Oil & Gas Midstream,Energy
ONC,Biotechnology,Healthcare
INSM,Biotechnology,Healthcare
CPRT,Specialty Business Services,Industrials
A,Diagnostics & Research,Healthcare
IR,Specialty Industrial Machinery,Industrials
CHTR,Telecom Services,Communication Services
EC,Oil & Gas Integrated,Energy
HBAN,Banks - Regional,Financials
VIK,Travel Services,Consumer Discretionary
AXIA,Utilities - Renewable,Utilities
SYM,Specialty Industrial Machinery,Industrials
ATO,Utilities - Regulated Gas,Utilities
DTE,Utilities - Regulated Electric,Utilities
ASTS,Communication Equipment,Technology
AEE,Utilities - Regulated Electric,Utilities
MTB,Banks - Regional,Financials
TS,Oil & Gas Equipment & Services,Energy
OTIS,Specialty Industrial Machinery,Industrials
SHG,Banks - Regional,Financials
DOW,Chemicals,Materials
IRM,REIT - Specialty,Real Estate
STM,Semiconductors,Technology
FE,Utilities - Regulated Electric,Utilities
FISV,Software - Application,Technology
IBKR,Capital Markets,Financials
UAL,Airlines,Industrials
XYL,Specialty Industrial Machinery,Industrials
CBOE,Financial Data & Stock Exchanges,Financials
CTSH,Information Technology Services,Technology
FTI,Oil & Gas Equipment & Services,Energy
VICI,REIT - Diversified,Real Estate
EXR,REIT - Industrial,Real Estate
WAT,Diagnostics & Research,Healthcare
PPL,Utilities - Regulated Electric,Utilities
FTS,Utilities - Regulated Electric,Utilities
VEEV,Health Information Services,Healthcare
TPR,Luxury Goods,Consumer Discretionary
RJF,Asset Management,Financials
DOV,Specialty Industrial Machinery,Industrials
CNP,Utilities - Regulated Electric,Utilities
EXPE,Travel Services,Consumer Discretionary
JBL,Electronic Components,Technology
CTRA,Oil & Gas Exploration & Production,Energy
IQV,Diagnostics & Research,Healthcare
TDY,Scientific & Technical Instruments,Technology
TW,Capital Markets,Financials
EXE,Oil & Gas Exploration & Production,Energy
EIX,Utilities - Regulated Electric,Utilities
BIIB,Drug Manufacturers - General,Healthcare
SUNB,Rental & Leasing Services,Industrials
RPRX,Biotechnology,Healthcare
AWK,Utilities - Regulated Water,Utilities
WTW,Insurance Brokers,Financials
PBA,Oil & Gas Midstream,Energy
CASY,Specialty Retail,Consumer Discretionary
STZ,Beverages - Brewers,Consumer Staples
KHC,Packaged Foods,Consumer Staples
LYB,Specialty Chemicals,Materials
NTRA,Diagnostics & Research,Healthcare
DG,Discount Stores,Consumer Staples
PHG,Medical Devices,Healthcare
BAP,Banks - Regional,Financials
NBIS,Internet Content & Information,Communication Services
HUBB,Electrical Equipment & Parts,Industrials
ES,Utilities - Regulated Electric,Utilities
ROL,Personal Services,Consumer Discretionary
VRSK,Consulting Services,Industrials
FOXA,Entertainment,Communication Services
NTRS,Asset Management,Financials
MTD,Diagnostics & Research,Healthcare
BG,Farm Products,Consumer Staples
STLD,Steel,Materials
MTZ,Engineering & Construction,Industrials
CFG,Banks - Regional,Financials
FTAI,Rental & Leasing Services,Industrials
CW,Aerospace & Defense,Industrials
VIV,Telecom Services,Communication Services
EL,Household & Personal Products,Consumer Staples
WRB,Insurance - Property & Casualty,Financials
FIS,Information Technology Services,Technology
FICO,Software - Application,Technology
DXCM,Medical Devices,Healthcare
CINF,Insurance - Property & Casualty,Financials
GFS,Semiconductors,Technology
FOX,Entertainment,Communication Services
FLEX,Electronic Components,Technology
TECK,Other Industrial Metals & Mining,Materials
LPLA,Capital Markets,Financials
SQM,Specialty Chemicals,Materials
TSCO,Specialty Retail,Consumer Discretionary
BCE,Telecom Services,Communication Services
MKL,Insurance - Property & Casualty,Financials
CMS,Utilities - Regulated Electric,Utilities
Q,Semiconductor Equipment & Materials,Technology
RDDT,Internet Content & Information,Communication Services
PPG,Specialty Chemicals,Materials
ON,Semiconductors,Technology
NMR,Capital Markets,Financials
UTHR,Drug Manufacturers - Specialty & Generic,Healthcare
ZM,Software - Application,Technology
FCNCA,Banks - Regional,Financials
EQR,REIT - Residential,Real Estate
SYF,Credit Services,Financials
UMC,Semiconductors,Technology
VRSN,Software - Infrastructure,Technology
CRCL,Capital Markets,Financials
AVB,REIT - Residential,Real Estate
TSN,Farm Products,Consumer Staples
FWONA,Entertainment,Communication Services
CHD,Household & Personal Products,Consumer Staples
LEN,Residential Construction,Consumer Discretionary
ULTA,Specialty Retail,Consumer Discretionary
XPO,Trucking,Industrials
DRI,Restaurants,Consumer Discretionary
NI,Utilities - Regulated Gas,Utilities
PHM,Residential Construction,Consumer Discretionary
PAAS,Gold,Materials
LH,Diagnostics & Research,Healthcare
BEP,Utilities - Renewable,Utilities
AER,Rental & Leasing Services,Industrials
BRO,Insurance Brokers,Financials
STE,Medical Devices,Healthcare
RF,Banks - Regional,Financials
DGX,Diagnostics & Research,Healthcare
L,Insurance - Property & Casualty,Financials
ZS,Software - Infrastructure,Technology
KEY,Banks - Regional,Financials
ALB,Specialty Chemicals,Materials
WIT,Information Technology Services,Technology
DLTR,Discount Stores,Consumer Staples
VLTO,Pollution & Treatment Controls,Industrials
OMC,Advertising Agencies,Communication Services
CF,Agricultural Inputs,Materials
WWD,Aerospace & Defense,Industrials
BSBR,Banks - Regional,Financials
WSM,Specialty Retail,Consumer Discretionary
RCI,Telecom Services,Communication Services
EFX,Consulting Services,Industrials
SW,Packaging & Containers,Consumer Discretionary
BNTX,Biotechnology,Healthcare
FSLR,Solar,Technology
HUM,Healthcare Plans,Healthcare
SBS,Utilities - Regulated Water,Utilities
NTAP,Software - Infrastructure,Technology
RGLD,Gold,Materials
KOF,Beverages - Non-Alcoholic,Consumer Staples
USFD,Food Distribution,Consumer Staples
TU,Telecom Services,Communication Services
RL,Apparel Manufacturing,Consumer Discretionary
FN,Electronic Components,Technology
MRNA,Biotechnology,Healthcare
STLA,Auto Manufacturers,Consumer Discretionary
LDOS,Information Technology Services,Technology
PSTG,Computer Hardware,Technology
IHG,Lodging,Consumer Discretionary
GIS,Packaged Foods,Consumer Staples
JBHT,Integrated Freight & Logistics,Industrials
SOFI,Credit Services,Financials
CPAY,Software - Infrastructure,Technology
BURL,Apparel Retail,Consumer Discretionary
TSEM,Semiconductors,Technology
ALAB,Semiconductors,Technology
TROW,Asset Management,Financials
ATI,Metal Fabrication,Industrials
YPF,Oil & Gas Integrated,Energy
CHRW,Integrated Freight & Logistics,Industrials
ROIV,Biotechnology,Healthcare
MDB,Software - Infrastructure,Technology
NVT,Electrical Equipment & Parts,Industrials
PFG,Asset Management,Financials
CIB,Banks - Regional,Financials
PKG,Packaging & Containers,Consumer Discretionary
EXPD,Integrated Freight & Logistics,Industrials
CRS,Metal Fabrication,Industrials
IP,Packaging & Containers,Consumer Discretionary
KEP,Utilities - Regulated Electric,Utilities
FUTU,Capital Markets,Financials
SNA,Tools & Accessories,Industrials
PR,Oil & Gas Exploration & Production,Energy
EVRG,Utilities - Regulated Electric,Utilities
BWXT,Aerospace & Defense,Industrials
DD,Specialty Chemicals,Materials
BR,Information Technology Services,Technology
ZTO,Integrated Freight & Logistics,Industrials
LUV,Airlines,Industrials
RVMD,Biotechnology,Healthcare
RIVN,Auto Manufacturers,Consumer Discretionary
AS,Leisure,Consumer Discretionary
JBS,Packaged Foods,Consumer Staples
TWLO,Software - Infrastructure,Technology
IFF,Specialty Chemicals,Materials
GPN,Specialty Business Services,Industrials
LNT,Utilities - Regulated Electric,Utilities
BCH,Banks - Regional,Financials
ILMN,Diagnostics & Research,Healthcare
INCY,Biotechnology,Healthcare
NVR,Residential Construction,Consumer Discretionary
BEKE,Real Estate Services,Real Estate
AGI,Gold,Materials
AMCR,Packaging & Containers,Consumer Discretionary
NXT,Solar,Technology
LI,Auto Manufacturers,Consumer Discretionary
TLK,Telecom Services,Communication Services
HPQ,Computer Hardware,Technology
CDE,Gold,Materials
SBAC,REIT - Specialty,Real Estate
RBA,Specialty Business Services,Industrials
OVV,Oil & Gas Exploration & Production,Energy
CRDO,Semiconductors,Technology
FLUT,Gambling,Consumer Discretionary
WST,Medical Instruments & Supplies,Healthcare
YUMC,Restaurants,Consumer Discretionary
ZBH,Medical Devices,Healthcare
IOT,Software - Infrastructure,Technology
ENTG,Semiconductor Equipment & Materials,Technology
APG,Engineering & Construction,Industrials
WY,REIT - Specialty,Real Estate
TEAM,Software - Application,Technology
PKX,Steel,Materials
VNOM,Oil & Gas Midstream,Energy
DKS,Specialty Retail,Consumer Discretionary
MTSI,Semiconductors,Technology
HOLX,Medical Instruments & Supplies,Healthcare
ULS,Specialty Business Services,Industrials
LULU,Apparel Retail,Consumer Discretionary
RBC,Tools & Accessories,Industrials
CSGP,Real Estate Services,Real Estate
THC,Medical Care Facilities,Healthcare
FTV,Scientific & Technical Instruments,Technology
AKAM,Software - Infrastructure,Technology
CG,Asset Management,Financials
WES,Oil & Gas Midstream,Energy
PTC,Software - Application,Technology
WF,Banks - Regional,Financials
BIP,Utilities - Diversified,Utilities
XPEV,Auto Manufacturers,Consumer Discretionary
ESS,REIT - Residential,Real Estate
GMAB,Biotechnology,Healthcare
ITT,Specialty Industrial Machinery,Industrials
PAA,Oil & Gas Midstream,Energy
SSNC,Software - Application,Technology
SUI,REIT - Residential,Real Estate
BALL,Packaging & Containers,Consumer Discretionary
CNC,Healthcare Plans,Healthcare
APA,Oil & Gas Exploration & Production,Energy
CX,Building Materials,Materials
EMA,Utilities - Regulated Electric,Utilities
RS,Steel,Materials
AA,Aluminum,Materials
PAYP,Credit Services,Financials
MGA,Auto Parts,Consumer Discretionary
RTO,Specialty Business Services,Industrials
CDW,Information Technology Services,Technology
LII,Building Products & Equipment,Industrials
TXT,Aerospace & Defense,Industrials
GIB,Information Technology Services,Technology
HTHT,Lodging,Consumer Discretionary
TOST,Software - Infrastructure,Technology
BSAC,Banks - Regional,Financials
VTRS,Drug Manufacturers - Specialty & Generic,Healthcare
TPG,Asset Management,Financials
KIM,REIT - Retail,Real Estate
MKSI,Scientific & Technical Instruments,Technology
HII,Aerospace & Defense,Industrials
NLY,REIT - Mortgage,Real Estate
CHKP,Software - Infrastructure,Technology
WPC,REIT - Diversified,Real Estate
SGI,"Furnishings, Fixtures & Appliances",Consumer Discretionary
J,Engineering & Construction,Industrials
CLH,Waste Management,Industrials
TLN,Utilities - Independent Power Producers,Utilities
TRMB,Scientific & Technical Instruments,Technology
INVH,REIT - Residential,Real Estate
FFIV,Software - Infrastructure,Technology
PODD,Medical Devices,Healthcare
GRAB,Software - Application,Technology
GPC,Auto Parts,Consumer Discretionary
TME,Internet Content & Information,Communication Services
NDSN,Specialty Industrial Machinery,Industrials
WLK,Specialty Chemicals,Materials
MAA,REIT - Residential,Real Estate
SN,"Furnishings, Fixtures & Appliances",Consumer Discretionary
TYL,Software - Application,Technology
EWBC,Banks - Regional,Financials
APTV,Auto Parts,Consumer Discretionary
MKC,Packaged Foods,Consumer Staples
AFRM,Credit Services,Financials
NVMI,Semiconductor Equipment & Materials,Technology
GFL,Waste Management,Industrials
AR,Oil & Gas Exploration & Production,Energy
GGG,Specialty Industrial Machinery,Industrials
IEX,Specialty Industrial Machinery,Industrials
REG,REIT - Retail,Real Estate
DTM,Oil & Gas Midstream,Energy
LTM,Airlines,Industrials
OWL,Asset Management,Financials
JLL,Real Estate Services,Real Estate
PNR,Specialty Industrial Machinery,Industrials
OHI,REIT - Healthcare Facilities,Real Estate
COO,Medical Instruments & Supplies,Healthcare
LECO,Tools & Accessories,Industrials
BBIO,Biotechnology,Healthcare
KSPI,Software - Infrastructure,Technology
SNN,Medical Devices,Healthcare
QXO,Industrial Distribution,Industrials
H,Lodging,Consumer Discretionary
KTOS,Aerospace & Defense,Industrials
NIO,Auto Manufacturers,Consumer Discretionary
NYT,Publishing,Communication Services
BEPC,Utilities - Renewable,Utilities
DECK,Footwear & Accessories,Consumer Discretionary
NWSA,Entertainment,Communication Services
ASND,Biotechnology,Healthcare
CNH,Farm & Heavy Construction Machinery,Industrials
CSL,Building Products & Equipment,Industrials
LOGI,Computer Hardware,Technology
SMCI,Computer Hardware,Technology
